athlete,sport,substance_reason,sanction_terms,sanction_date,support_personnel,multiple_sports,paralympic,sanction_type
"montañez barroso, elias",cycling,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,2023-01-10,FALSE,FALSE,FALSE,non-analytical
"ruiz-gutierrez, noslen",cycling,dexamethasone; phentermine; 19-noretiocholanolone (19-ne); 19-norandrosterone (19-na); anabolic agent,4-year suspension; loss of results,2023-01-04,FALSE,FALSE,FALSE,analytical
"roberts, gil",track & field,andarine; ostarine,16-month suspension; loss of results,2022-12-08,FALSE,FALSE,FALSE,analytical
"andrew, sidney",cycling,5-methylhexan-2-amine,12-month suspension; loss of results,2022-12-05,FALSE,FALSE,FALSE,analytical
"rodriguez ocasio, christian",weightlifting,heptaminol; octodrine,12-month suspension; loss of results,2022-11-30,FALSE,FALSE,FALSE,analytical
"scherf, lindsey",track & field,androgenic anabolic steroid,4-year suspension; loss of results,2022-11-29,FALSE,FALSE,FALSE,analytical
"mead, hassan",track & field,ostarine; lgd-4033,3-year suspension; loss of results,2022-11-29,FALSE,FALSE,FALSE,analytical
"evans, aja",bobsled,non-analytical: refusal to submit to sample collection,2-year suspension; loss of results,2022-11-18,FALSE,FALSE,FALSE,non-analytical
"scantling, garrett",track & field,non-analytical: 3 whereabouts failures; tampering,3-year suspension; loss of results,2022-11-18,FALSE,FALSE,FALSE,non-analytical
"provisor, ben",wrestling,amphetamine,16-month suspension; loss of results,2022-11-15,FALSE,FALSE,FALSE,analytical
"skoog, arika",boxing,furosemide,1-year suspension; loss of results,2022-10-26,FALSE,FALSE,FALSE,analytical
"navarrete, rene",weightlifting,cannabinoids,3-month suspension; loss of results,2022-10-14,FALSE,FALSE,FALSE,analytical
"green, bobby",mixed martial arts,dehydroepiandrosterone (dhea),6-month suspension,2022-10-07,FALSE,FALSE,FALSE,analytical
"guimarães, catarina",para track & field,non-analytical: use (intravenous infusion),public warning,2022-10-05,FALSE,FALSE,TRUE,non-analytical
"bringas, joshua",weightlifting,"heptaminol; ibutamoren, oxilofrine; gw1516",3-year suspension; loss of results,2022-09-26,FALSE,FALSE,FALSE,analytical
"zaleski dos santos, elizeu",mixed martial arts,ostarine,1-year suspension,2022-09-22,FALSE,FALSE,FALSE,analytical
"ray, olivia",cycling,"human growth hormone (hgh), clenbuterol, and oxandrolone; non-analytical: possession",30-month suspension; loss of results,2022-09-22,FALSE,FALSE,FALSE,non-analytical
"browne, richard",para track & field,cannabinoids,3-month suspension; loss of results,2022-09-07,FALSE,FALSE,TRUE,analytical
"hearn, timothy",weightlifting,19-norandrosterone (19-na); trenbolone; clomiphene; gw1516; non-analytical: use (iv and blood transfusion),3-year suspension; loss of results,2022-09-06,FALSE,FALSE,FALSE,non-analytical
"trujillo, nelson",cycling,non-analytical: refusal to submit to sample collection,12-year suspension; loss of results,2022-09-02,FALSE,FALSE,FALSE,non-analytical
"jordan, clint",weightlifting,anabolic agent,4-year suspension; loss of results,2022-09-01,FALSE,FALSE,FALSE,analytical
"coleman, ellis",wrestling,dehydroepiandrosterone (dhea),24-month suspension; loss of results,2022-08-31,FALSE,FALSE,FALSE,analytical
"walker, gregory",para track & field,cannabinoids,3-month suspension; loss of results,2022-08-16,FALSE,FALSE,TRUE,analytical
"hattingh, riekert",rugby,tamoxifen,6-month suspension; loss of results,2022-08-11,FALSE,FALSE,FALSE,analytical
"nash, jackson ""huntley""",cycling,non-analytical: possession and use/attempted use; tampering/attempted tampering; trafficking/attempted trafficking; administration/attempted administration; complicity/attempted complicity; retaliation,lifetime suspension; loss of results,2022-08-10,FALSE,FALSE,FALSE,non-analytical
"howes, lucas",cycling,cannabinoids,3-month suspension; loss of results,2022-08-05,FALSE,FALSE,FALSE,analytical
"johns, miles",mixed martial arts,adderall,public warning,2022-07-21,FALSE,FALSE,FALSE,analytical
"struxness, wyatt",boccia,furosemide,public warning,2022-07-07,FALSE,FALSE,FALSE,analytical
"pena, felipe",brazilian jiu-jitsu,clomiphene,1-year suspension; loss  of results,2022-06-16,FALSE,FALSE,FALSE,analytical
"allen, sabina",track & field,phentermine; lgd-4033,4-year suspension; loss of results,2022-06-09,FALSE,FALSE,FALSE,analytical
"monastyrskyi, andrii",canoe,meldonium,3-year suspension; loss of results,2022-06-02,FALSE,FALSE,FALSE,analytical
"kynard, erik",track & field,non-analytical: use (iv),6-month suspension,2022-05-27,FALSE,FALSE,FALSE,non-analytical
"evans-smith, ashlee",mixed martial arts,dehydroepiandrosterone (dhea),14-month suspension,2022-05-16,FALSE,FALSE,FALSE,analytical
"blanchfield, erin",mixed martial arts,spironolactone,public warning,2022-05-13,FALSE,FALSE,FALSE,analytical
"downing, tricia",para shooting,androgenic anabolic steroid,2-year suspension,2022-05-09,FALSE,FALSE,TRUE,analytical
"irizarry, ana",track & field,meldonium,3-year suspension; loss of results,2022-05-04,FALSE,FALSE,FALSE,analytical
"valdes, hanncer",cycling,stanozolol,4-year suspension; loss of results,2022-04-28,FALSE,FALSE,FALSE,analytical
"graham, taylor",wheelchair tennis,non-analytical: refusal to submit to sample collection,4-year suspension; loss of results,2022-04-27,FALSE,FALSE,FALSE,non-analytical
"borrego lee, geony",cycling,phentermine,3-year suspension; loss of results,2022-04-20,FALSE,FALSE,FALSE,analytical
"gormley, isabel",swimming,non-analytical: 3 whereabouts failures,1-year suspension; loss of results,2022-04-19,FALSE,FALSE,FALSE,non-analytical
"mckay, dryden",ice hockey,ostarine,6-month suspension; loss of results,2022-04-18,FALSE,FALSE,FALSE,analytical
"summerhill, daniel",cycling,amphetamine,1-year suspension; loss of results,2022-03-31,FALSE,FALSE,FALSE,analytical
"abers, brian",cycling,ibutamoren,1-year suspension; loss of results,2022-03-18,FALSE,FALSE,FALSE,analytical
"palmer, ahje",weightlifting,cannabinoids,1-month suspension; loss of results,2022-03-11,FALSE,FALSE,FALSE,analytical
"lazishvili, zviad",mixed martial arts,clomiphene,10-month suspension,2022-02-23,FALSE,FALSE,FALSE,analytical
"chavez, bernabe",weightlifting,"non-analytical: tampering, complicity",4-year suspension,2022-02-04,FALSE,FALSE,FALSE,non-analytical
"wilson, ian",weightlifting,stanozolol; drostanolone,3-year suspension; loss of results,2022-02-03,FALSE,FALSE,FALSE,analytical
"prazeres, michel",mixed martial arts,clomiphene; oxandrolone; androgenic anabolic steroid,4-year suspension,2021-12-23,FALSE,FALSE,FALSE,analytical
"bowlby, grace",ice hockey,spironolactone,public warning,2021-12-16,FALSE,FALSE,FALSE,analytical
"lampkin, trey",paralympic judo,hydrochlorothiazide (hctz),public warning,2021-12-07,FALSE,FALSE,TRUE,analytical
"wethington, madeline",ice hockey,spironolactone,public warning,2021-12-06,FALSE,FALSE,FALSE,analytical
